[skel] Bulldog: 38 joints
  [0] "_rootJoint" parent=-1
  [1] "spine0_01" parent=0
  [2] "spine01_02" parent=1
  [3] "spine02_03" parent=2
  [4] "spine03_04" parent=3
  [5] "spine04_05" parent=4
  [6] "neck_06" parent=5
  [7] "head_07" parent=6
  [8] "ear01.L_08" parent=7
  [9] "ear02.L_09" parent=8
  [10] "ear02.L_end_031" parent=9
  [11] "ear01.R_010" parent=7
  [12] "ear02.R_011" parent=11
  [13] "ear02.R_end_032" parent=12
  [14] "frontLeg01.L_012" parent=5
  [15] "frontLeg02.L_013" parent=14
  [16] "frontLeg03.L_014" parent=15
  [17] "frontPaw.L_015" parent=16
  [18] "frontPaw.L_end_033" parent=17
  [19] "frontLeg01.R_016" parent=5
  [20] "frontLeg02.R_017" parent=19
  [21] "frontLeg03.R_018" parent=20
  [22] "forntPaw.R_019" parent=21
  [23] "forntPaw.R_end_034" parent=22
  [24] "hindLeg01.L_020" parent=2
  [25] "hindLeg02.L_021" parent=24
  [26] "hindLeg03.L_022" parent=25
  [27] "hindLeg04.L_00" parent=26
  [28] "hindLeg05.L_023" parent=27
  [29] "hindPaw.L_024" parent=28
  [30] "hindPaw.L_end_035" parent=29
  [31] "hindLeg01.R_025" parent=2
  [32] "hindLeg02.R_026" parent=31
  [33] "hindLeg03.R_027" parent=32
  [34] "hindLeg04.R_028" parent=33
  [35] "hindLeg05.R_029" parent=34
  [36] "hindPaw.R_030" parent=35
  [37] "hindPaw.R_end_036" parent=36
[skel] Chicken: no skeleton
